index,source_en,predicted_hi,reference_hi,chrf_score,category,pred_len,ref_len,len_diff
11,"it is not a matter of something we might choose to do, said hasan ikhrata, executive director of the southern california assn. of governments, which is planning for the state to start tracking miles driven by every california motorist by 2025.","यह ऐसी बात नहीं है जिसे हम चाहें, उसने कहा है कि वह है मिक्लिया के एक अधिकारी, जो कि दक्षिणी कैर्निया के अधिकारी हैं ।","यह हमारे द्वारा चुने या नहीं चुने जाने का विषय नहीं है यह कहना है हसन इखराता का जो दक्षिण कैलीफोर्निया सरकार संघ के कार्यकारी निदेशक हैं, जो वर्ष तक कैलीफोर्निया में मोटरचालकों द्वारा तय किए गए प्रत्येक मील को ट्रैक करने की शुरुआत करने की योजना बना रहा है।",15.64,Bad,26,50,24
12,there is going to be a change in how we pay these taxes.,हम इन कर का भुगतान कैसे करने के लिए एक परिवर्तन होने जा रहा है.,हमारे द्वारा कर भुगतान किए जाने के तरीके में परिवर्तन होने जा रहा है।,47.23,Medium,15,14,1
13,the technology is there to do it.,प्रौद्योगिकी यह करने के लिए है.,ऐसा करने के लिए प्रौद्योगिकी है।,67.07,Good,6,6,0
14,"the push comes as the countrys highway trust fund, financed with taxes americans pay at the gas pump, is broke.","जब देश के लोग सड़क पर भरोसा रखने के लिए जमा होते हैं, तो गैस पंप पर कर अदा करने के लिए पैसे खर्च किए जाते हैं ।","ऐसा होने का मुख्य कारण यह है कि देश का हाईवे ट्रस्ट फ़ंड लगभग दिवालिया हो गया है, जिसका वित्तपोषण अमेरिकी नागरिकों द्वारा गैस पम्प पर किए जाने वाले करों के भुगतान से होता है।",16.25,Bad,28,35,7
15,americans dont buy as much gas as they used to.,अमिकन उतना गैस नहीं खरीदते जितना वे इस्तेमाल करते थे।,अमेरिकी लोग अब पहले जितनी गैस नहीं खरीदते।,42.52,Medium,10,8,2
16,cars get many more miles to the gallon.,कारों को गैलन के लिए कई और मील मिलता है.,अब एक गैलन गैस में कार पहले से अधिक मील चलती है।,17.99,Bad,10,12,2
17,"the federal tax itself, 18.4 cents per gallon, hasnt gone up in 20 years.","संघीय कर खुद, 18.4 सेंट प्रति गैलन, 20 साल में चला गया है.","फेडरल टैक्स में पिछले वर्षों में कोई बढ़ोतरी नहीं हुई, जो . सेंट प्रति गैलन है।",23.33,Medium,13,16,3
18,politicians are loath to raise the tax even one penny when gas prices are high.,"जब गैस के दाम बहुत ऊँचे होते हैं, तब भी कर को बढ़ाने के लिए नेताओं को रखा जाता है ।",गैस के उच्च मूल्य होने के कारण राजनेता टैक्स में एक पैसा भी वृद्धि करने से परहेज करते हैं।,18.98,Bad,21,19,2
19,"the gas tax is just not sustainable, said lee munnich, a transportation policy expert at the university of minnesota.","गैस कर सिर्फ बिजली नहीं है, बल्कि यह भी कहा जा सकता है कि लेन्‍ना की विश्‍वविद्यालय में एक यातायात नीति विशेषज्ञ है ।","मिनेसोटा विश्वविद्यालय में परिवहन नीति विशेषज्ञ ली मुनिख कहते हैं, गैस कर बिल्कुल संवहनीय नहीं है।",39.71,Medium,24,16,8
20,his state recently put tracking devices on 500 cars to test out a paybymile system.,हाल ही में उसकी राज्य ने 500 कारों पर ट्रैकिंग उपकरणों को एक भुगतान प्रणाली की जाँच करने के लिए रखा है।,उनके राज्य ने प्रतिमील भुगतान प्रणाली का परीक्षण करने के लिए हाल ही में कारों में ट्रैकिंग डिवाइस लगाई है।,47.16,Medium,22,20,2
21,"this works out as the most logical alternative over the long term, he said.","यह लंबे समय के ऊपर सबसे तर्कसंगत विकल्प के रूप में काम करता है, उन्होंने कहा.","वे कहते हैं, दीर्घकाल में यह सबसे अधिक तर्कपूर्ण विकल्प के रूप में काम करेगा।",39.89,Medium,16,15,1
22,wonks call it a mileagebased user fee.,खेल जीते इसे एक मील की दूरी पर उपयोक्ता कैश कहते हैं.,वॉन्क्स इसे माइलेजआधारित उपयोगकर्ता शुल्क कहते हैं।,23.9,Medium,12,7,5
23,"it is no surprise that the idea appeals to urban liberals, as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases, for example.","यह कोई आश्‍चर्य की बात नहीं कि यह विचार शहरी उदारियों को आकर्षक लगता है, क्योंकि करों को ऐसे तरीक़ों से बदलने के लिए सख़्त किया जा सकता है जो प्रदूषण और ग्रीनहाउस गैसों को कम करने में मदद कर सकते हैं ।","यह आश्चर्य की बात नहीं है कि यह विचार शहरी उदारवादियों को अच्छा लग रहा है, क्योंकि इससे, उदाहरण के लिए कार चलाने के तौरतरीके में परिवर्तन करने के लिए करों में बदलाव किया जा सकता है, जो जाम कम करने तथा ग्रीनहाउस गैस कम करने में सहायता कर सकता है।",44.73,Medium,43,51,8
24,california planners are looking to the system as they devise strategies to meet the goals laid out in the states ambitious global warming laws.,वे इस बात की कल्पना कर रहे हैं कि दुनिया - भर में होनेवाले बढ़ते तापमान के नियमों को पूरा करने के लिए क्या - क्या लक्ष्य रखे जा रहे हैं ।,कैलीफोर्निया के योजनाकार इस सिस्टम के लिए उत्सुक हैं जबकि वे राज्य के महात्वाकांक्षी ग्लोबल वार्मिंग कानूनों में निर्धारित लक्ष्य पूर्ण करने के लिए रणनीतियाँ विकसित कर रहे हैं।,24.56,Medium,32,29,3
25,"but rep. bill shuster rpa., chairman of the house transportation committee, has said he, too, sees it as the most viable longterm alternative.",उन्होंने कहा है कि घर की परिवहन समिति के अध्यक्ष ने भी कहा है कि यह सबसे लंबे समय तक व्यवहारात्मक विकल्प के रूप में देखा है।,"लेकिन गृह परिवहन समिति के अध्यक्ष, रिप. बिल शुस्टर आ.पी.ए. भी ब्लैक बॉक्स को सबसे व्यवहार्य दीर्घकालिक विकल्प मानते हैं।",35.64,Medium,27,20,7
26,the free marketeers at the reason foundation are also fond of having drivers pay per mile.,कारण से मुक्‍त बाज़ारी ड्राइवरों को प्रति मील का भुगतान करने के लिए भी ख़ुशी होती है ।,रीजन फ़ाउंडेशन में स्वतंत्र विक्रेता भी चालक द्वारा प्रति मील भुगतान के पक्ष में हैं।,25.7,Medium,18,15,3
27,"this is not just a tax going into a black hole, said adrian moore, vice president of policy at reason.","यह सिर्फ एक कर कील में जा रहा नहीं है, एक ब्लैक होल में कहा, एक Addririro, कारण में नीति के राष्ट्रपति ने कहा.","रीजन में पॉलिसी के उपाध्यक्ष, एड्रियन मूर ने कहा, यह मात्र ऐसा कर नहीं है जो अंधे कुएँ में जा रहा है।",25.33,Medium,24,22,2
28,people are paying more directly into what they are getting.,लोगों को वे क्या कर रहे हैं में सीधे रूप से भुगतान कर रहे हैं.,"लोग जो चीज प्राप्त कर रहे हैं, उसके लिए अधिक प्रत्यक्ष रूप से भुगतान कर रहे हैं।",42.56,Medium,15,17,2
29,"the movement is also bolstered by two former u.s. transportation secretaries, who in a 2011 report urged congress to move in the paypermile direction.","सन्‌ 2011 की एक रिपोर्ट में, अमरीका के एक अखबार में बताया गया था कि वहाँ के लोगों की गिनती तेज़ी से बढ़ रही है ।","इस अभियान को दो भूतपूर्व अमेरिकी परिवहन सचिवों ने भी समर्थन दिया है, जिन्होंने वर्ष में अपनी रिपोर्ट में कांग्रेस से प्रतिमील भुगतान की दिशा में आगे बढ़ने का अनुग्रह किया था।",17.97,Bad,26,32,6
30,"the u.s. senate approved a 90million pilot project last year that would have involved about 10,000 cars.","पिछले साल एक 90 लाख पायलटों परियोजना स्वीकार की जाती है कि लगभग 10,000 कारों में शामिल होता.","यू.एस. सीनेट ने पिछले वर्ष मिलियन डॉलर की परीक्षण परियोजना स्वीकृत की थी, जिसमें , कारें शामिल हो गई होतीं।",31.25,Medium,18,20,2
31,"but the house leadership killed the proposal, acting on concerns of rural lawmakers representing constituents whose daily lives often involve logging lots of miles to get to work or into town.","लेकिन घर - मालिक ने इस प्रस्ताव को मार डाला, और गाँव के कानून बनानेवाले लोगों की चिंता करते हुए उनके रोज़मर्रा की ज़िंदगी में अकसर बहुत - सी मीलों की दूरी पर काम करना या शहर जाना शामिल था ।","लेकिन ग्रामीण विधिनिर्माताओं की चिंताओं पर काम करते हुए, जो ऐसे व्यक्तियों का प्रतिनिधि कर रहे थे जिन्हें रोजाना काम पर जाने अथवा शहर में जाने के लिए बहुत अधिक मील चलना पड़ता है, सदन के नेतृत्व ने उस प्रस्ताव को वहीं पर समाप्त कर दिया।",27.97,Medium,41,46,5
32,several states and cities are nonetheless moving ahead on their own.,बहुत - से देश और शहर अपने ही बलबूते पर आगे बढ़ रहे हैं ।,फिर भी बहुत से राज्य और शहर खुदबखुद इस दिशा में आगे बढ़ रहे हैं।,35.06,Medium,15,15,0
33,"the most eager is oregon, which is enlisting 5,000 drivers in the countrys biggest experiment.","सबसे उत्सुक है यागॉन, जो देश में ५,००० ड्राइवरों को सबसे बड़ी प्रयोग में ले जा रहा है ।","इसमें सबसे अधिक इच्छुक ऑरेगोन है, जिसने देश के सबसे बड़े प्रयोग में , चालक सूचीबद्ध किए हैं।",26.68,Medium,19,18,1
34,those drivers will soon pay the mileage fees instead of gas taxes to the state.,उन चालकों को जल्द ही गैस कर देने के बजाय किलोमीटर का पैसा भरना पड़ेगा ।,ये चालक जल्द ही राज्य को गैस कर के बजाय माइलेज शुल्क का भुगतान करेंगे।,27.97,Medium,16,15,1
35,nevada has already completed a pilot.,नेवाडा पहले ही एक पायलट पूरा हो चुका है.,नेवाडा ने पहले ही प्रारंभिक परीक्षण पूर्ण कर लिया है।,25.67,Medium,9,10,1
36,new york city is looking into one.,नए योर्क शहर एक में देख रहा है.,न्यू यॉर्क शहर भी इस दिशा में आगे बढ़ रहा है।,24.37,Medium,8,11,3
37,illinois is trying it on a limited basis with trucks.,बीमार लोगों के लिए इसे ट्रकों के साथ एक सीमित आधार पर कोशिश कर रहा है ।,इलिनोइस सीमित आधार पर ट्रकों के साथ आज़माइश कर रहा है।,57.03,Good,17,11,6
38,"and the i95 coalition, which includes 17 state transportation departments along the eastern seaboard including maryland, pennsylvania, virginia and florida, is studying how they could go about implementing the change.",और इस अध्ययन से पता चलता है कि वे बदलाव करने के बारे में कैसे सोच सकते हैं ।,"तथा आई गठबंधन, जिसमें पूर्वी सीबोर्ड के साथ के राज्य परिवहन विभाग मेरीलैंड, पेनसिलवेनिया, वर्जीनिया तथा फ्लोरिडा समेत शामिल हैं, इस बात का अध्ययन कर रहे हैं कि वे इस परिवर्तन का किस तरह क्रियान्वयन कर सकते हैं।",12.43,Bad,19,38,19
39,the concept is not a universal hit.,धारणा एक विश्‍वव्यापी हिट नहीं है ।,इस विचार को सभी जगहों पर समर्थन नहीं मिला।,12.32,Bad,7,9,2
40,"in nevada, where about 50 volunteers cars were equipped with the devices not long ago, drivers were uneasy about the government being able to monitor their every move.","नवाडा में, जहाँ काफी समय पहले उपकरण नहीं थे, क़रीब ५० स्वयंसेवक कारों को परेशान कर रहे थे, ड्राइवर अपने हर कदम पर निगरानी रखने के लिए सरकार के बारे में चिंतित थे ।","नेवाडा में, जहाँ कुछ ही समय पहले स्वैच्छिक कार चालकों की कारों पर इस डिवाइस को लगाया गया था, चालक इस बात को सोच कर बहुत अधीर थे कि सरकार उनके प्रत्येक कदम को मॉनीटर कर सकती है।",27.1,Medium,34,38,4
41,"concerns about big brother and those sorts of things were a major problem, said alauddin khan, who directs strategic and performance management at the nevada department of transportation.",एक भाई के बारे में और उस तरह की चीज़ों के बारे में चिंता करना एक बड़ी समस्या थी ।,"नेवाडा परिवहन विभाग में रणनीतिक तथा कार्यनिष्पादन प्रबन्धन को निर्देशित करने वाले, अलाउद्दीन खान कहते हैं बिग ब्रदर तथा उसी प्रकार की अन्य चीजों के बारे में चिंता प्रमुख समस्या थी।",21.05,Medium,20,31,11
42,it was not something people wanted.,ऐसा कुछ नहीं था जो लोग चाहते थे ।,"यह ऐसी चीज नहीं है, जिसे लोग चाहते थे।",40.07,Medium,9,9,0
43,"as the trial got underway, the aclu of nevada warned on its website it would be fairly easy to turn these devices into fullfledged tracking devices.","परीक्षण के तहत, नेवा के एक हिस्से नेडा की वेबसाइट पर चेतावनी दी है कि इन उपकरणों को पूर्ण रूप से ट्रैकिंग उपकरणों में बदल देना आसान होगा.","परीक्षण के आगे बढ़ने के साथ ही, नेवाडा के ए.सी.एल.यू. ने अपनी वेबसाइट पर चेतावनी दी थीः इन डिवाइस को पूर्ण ट्रैकिंग डिवाइस में परिवर्तित करना काफी हद आसान होगा।",40.39,Medium,28,30,2
44,"there is no need to build an enormous, unwieldy technological infrastructure that will inevitably be expanded to keep records of individuals everyday comings and goings.","एक विशाल, अनियंत्रीय प्रौद्योगिकी का निर्माण करने की कोई ज़रूरत नहीं है जो निश्‍चित रूप से हर व्यक्‍ति के आने - जाने और जाने - जाने के रिकार्ड को बनाए रखने के लिए विस्तृत होगा ।","विशाल, अप्रबंधनीय प्रौद्योगिकी ढाँचासंरचना विकसित करने की कोई आवश्यकता नहीं है, जिसे प्रत्येक व्यक्ति के रोजाना आनेजाने का रिकॉर्ड रखने के लिए अवश्यंभावी रूप से फैलाना पड़े।",38.3,Medium,36,27,9
45,"nevada is among several states now scrambling to find affordable technology that would allow the state to keep track of how many miles a car is being driven, but not exactly where and at what time.","नवाडा अब बहुत - से देशों में है, जहाँ बहुत - से लोगों को आर्थिक रूप से मदद की ज़रूरत होती है और वे यह भी जान पाते हैं कि गाड़ी चलाते वक्‍त कितने किलोमीटर का सफर तय किया जा रहा है, मगर असल में नहीं कि कहाँ और किस वक्‍त पर ।","नेवाडा उन बहुत से राज्यों में से है, जो वहनीय प्रौद्योगिकी प्राप्त करने के लिए हरसंभव प्रयास कर रहा है, जिसकी सहायता से राज्य इस बात का विवरण प्राप्त कर सके कि कार कितने मील प्रतिदिन चल रही है, लेकिन यह नहीं कि वह कहां और किस समय चल रही है।",22.86,Medium,53,51,2
46,"if you can do that, khan said, the public gets more comfortable.","अगर आप ऐसा कर सकते हैं, तो हैन ने कहा, जनता को और अधिक आराम मिलता है ।","खान ने कहा कि यदि आप ऐसा कर सकते हैं, तो लोग अधिक सहज महसूस कर सकते हैं।",42.38,Medium,18,18,0
47,the hunt for that technology has led some state agencies to a small california startup called true mileage.,इस तकनीक का शिकार करने के लिए कुछ राज्य संघों ने सच्ची मीलों की शुरूआत की है ।,इस प्रौद्योगिकी की तलाश ने कुछ राज्य एजेन्सियों को ट्रू माइलेज नामक छोटे कैलीफोर्निया स्टार्टअप के पास पहुंचाया।,17.38,Bad,18,18,0
48,the firm was not originally in the business of helping states tax drivers.,पहले तो कर ड्राइवरों की मदद करने का काम शुरू नहीं हुआ था ।,यह फर्म मूल रूप से राज्य कर चालकों की सहायता करने के व्यवसाय में नहीं थी।,18.9,Bad,14,16,2
49,"it was seeking to break into an emerging market in auto insurance, in which drivers would pay based on their mileage.","यह ऑटो बीमा में एक निकासी बाज़ार में घुसना चाहता था, जिसमें ड्राइवर अपने मीलों पर आधारित भुगतान करते ।","यह ऑटो बीमा के उभरते हुए बाजार में प्रवेश करने का प्रयास कर रही थी, जिसमें चालकों को अपनी माइलेज के आधार पर भुगतान करना था।",33.11,Medium,20,26,6
50,"but the devices it is testing appeal to highway planners because they dont use gps and deliver a limited amount of information, uploaded periodically by modem.","लेकिन ये उपकरण सड़क योजनारों के लिए परीक्षण कर रहे हैं क्योंकि वे म्यूपी का इस्तेमाल नहीं करते और कुछ हद तक जानकारी नहीं देते, और समय - समय पर कार्य करते हैं ।","लेकिन यह जिस डिवाइस का परीक्षण कर रही है, वह हाईवे योजनाकारों को अच्छी लगी, क्योंकि उसमें जी.पी.एस. का उपयोग नहीं होता तथा बहुत सीमित सूचना प्रदान करती है, जो निश्चित समय अन्तराल पर मॉडम द्वारा अपलोड होती है।",24.17,Medium,34,39,5
51,"people will be more willing to do this if you do not track their speed and you do not track their location, said ryan morrison, chief executive of true mileage.","लोगों को यह करने के लिए अधिक तैयार हो जाएगा अगर आप उनकी गति ट्रैक नहीं करते हैं और आप उनके स्थान पर नहीं ट्रैक, ने कहा कि सच्ची मीलों की मुख्य अधिकारी, Mrrriren.","ट्रू माइलेज के मुख्य अधिशासी रेयान मॉरिसन ने कहा, यदि आप लोगों की गति और उनके स्थान को ट्रैक नहीं करते तो वे इस तरीके को अपनाने में अधिक इच्छुक होंगे।",36.09,Medium,34,31,3
52,there have been some big mistakes in some of these state pilot programs.,इनमें से कुछ राज्य पायलट प्रोग्रामों में कुछ बड़ी गलतियाँ हुई हैं ।,राज्य के इन प्रारंभिक कार्यक्रमों में कुछ बड़ी गलतियाँ हुई हैं।,59.18,Good,13,11,2
53,there are a lot less expensive and less intrusive ways to do this.,ऐसा करने के लिए बहुत कम महँगी और कम महँगी तरीके हैं ।,ऐसा करने के लिए बहुत कम खर्चीले तथा कम हस्तक्षेप करने वाले तरीके भी हैं।,39.94,Medium,13,15,2
54,"in oregon, planners are experimenting with giving drivers different choices.","यागॉन में, योजना बनानेवाले ड्राइवरों को अलग - अलग चुनाव करने के लिए प्रयोग कर रहे हैं ।","ऑरेगॉन में, योजनाकार चालकों को भिन्नभिन्न विकल्प देने का प्रयोग कर रहे हैं।",44.28,Medium,18,13,5
55,they can choose a device with or without gps.,वे बिना जीपी के उपकरण चुन सकते हैं.,वे जी.पी.एस. युक्त या बिना जी.पी.एस. की डिवाइस चुन सकते हैं।,28.92,Medium,8,11,3
56,"or they can choose not to have a device at all, opting instead to pay a flat fee based on the average number of miles driven by all state residents.","या फिर वे कोई उपकरण नहीं रख सकते, जो सभी देशों के लोगों द्वारा चलाए गए अधिकांश मीलों पर आधारित एक फ्लैट का भुगतान करने के बजाय निर्धारित करता है ।","या फिर से कोई भी डिवाइस न लेना चुन सकते हैं, बल्कि राज्य के निवासियों द्वारा तय किए जाने वाले औसत मीलों के आधार पर निर्धारित शुल्क देना चुन सकते हैं।",28.3,Medium,31,31,0
57,"other places are hoping to sell the concept to a wary public by having the devices do more, not less.",कुछ और जगहों पर इस धारणा को आम तौर पर बेचने की उम्मीद कर रहे हैं ।,अन्य स्थानों को आशा है कि डिवाइस में कम की बजाय और अधिक सुविधा प्रदान करके चिंतित नागरिकों को यह अवधारण बेची जा सकती है।,11.77,Bad,17,25,8
58,"in new york city, transportation officials are seeking to develop a taxing device that would also be equipped to pay parking meter fees, provide payasyoudrive insurance, and create a pool of realtime speed data from other drivers that motorists could use to avoid traffic.","नए शहर में, परिवहन अधिकारी एक कर देने वाले उपकरण को विकसित करने की कोशिश कर रहे हैं जो गाड़ी चलाने के लिए भी तैयार किया जाता है, आपके बीमा प्रदान करता है, और दूसरे ड्राइवरों से वास्तविक समय की गति डेटा तैयार करता है जो मोटर चालक यातायात से बचने के लिए प्रयोग कर सकते हैं ।","न्यू यॉर्क शहर में, परिवहन अधिकारी ऐसी टैक्सिंग डिवाइस विकसित करने का प्रयास कर रहे हैं, जिसमें पार्किंग मीटर शुल्क का भुगतान करने की सुविधा भी होगी, अपने ड्राइव के अनुसार भुगतान बीमा प्रदान करेगी, तथा अन्य चालकों से वास्तविक समय का गति डेटा का संग्रह निर्मित करेगी जिसका उपयोग मोटरचालक ट्रैफिक से बचने के लिए कर सकेंगे।",39.61,Medium,58,58,0
59,"motorists would be attracted to participate because of the value of the benefits it offers to them, says a city planning document.","एक शहर योजना दस्तावेज़ कहता है कि इससे उन्हें जो फायदे मिलते हैं, उनके कारण मोटर - चालक भाग लेने के लिए आकर्षित होंगे ।","शहर नियोजन दस्तावेज में उल्लेख किया गया है, मोटरचालक इससे प्राप्त होने वाले लाभों के कारण इसमें सहभागिता के लिए आकर्षित होंगे।",38.79,Medium,25,22,3
60,"some transportation planners, though, wonder if all the talk about paying by the mile is just a giant distraction.","लेकिन, कुछ परिवहन योजनाएँ यह आश्‍चर्य करती हैं कि क्या मीलों से भुगतान करने के बारे में सभी बात केवल एक विशाल ध्यानपूर्ण होती है ।","यद्यपि, कुछ परिवहन योजनाकारों को आश्चर्य होता है कि शायद मील के अनुसार भुगतान पर सारी चर्चा बड़ा विकर्षण है।",33.95,Medium,26,20,6
61,"at the metropolitan transportation commission in the san francisco bay area, officials say congress could very simply deal with the bankrupt highway trust fund by raising gas taxes.",वे कहते हैं कि यहाँ के अधिकारी गैस के करों का खर्च उठाने के द्वारा बस सड़क पर भरोसा रखने के लिए काफी कुछ कर सकते हैं ।,सैन फ्रैन्सिस्को खाड़ी क्षेत्र में मेट्रोपॉलिटन परिवहन आयोग ने कहा है कि कांग्रेस गैस टैक्स में वृद्धि करके दिवालिया हाईवे ट्रस्ट फ़ंड की समस्या से बहुत आसानी से निपट सकती है।,14.07,Bad,28,31,3
62,"an extra onetime or annual levy could be imposed on drivers of hybrids and others whose vehicles dont use much gas, so they pay their fair share.","एक अतिरिक्‍त समय या वार्षिक लाभों के चालकों और उन अन्य लोगों पर लगाया जा सकता है जिनके वाहन ज़्यादा गैस प्रयोग करते हैं, सो वे अपनी उचित हिस्सा अदा करते हैं ।","हाइब्रिड अथवा अन्य कारों के चालकों पर अतिरिक्त एकसमय का अथवा वार्षिक शुल्क भी लगाया जा सकता है, जिनके वाहन बहुत अधिक गैस का उपयोग नहीं करते हैं ताकि वे अपने उचित हिस्से का भुगतान करें।",41.94,Medium,33,36,3
